name,email,contact_name,phone,website,address,rating,reviews_count,categories,confidence_score,latitude,longitude,hours,enriched_at,source_search,place_id
Toast to Toast Kansas City Downtown,,,,,"770 Admiral Blvd 1st Floor,Kansas City, MO 64106",4.9,312,Restaurant,0.0,,,"{""raw"": ""Closed \u22c5 Opens 6\u202fAM""}",,58f05ab89eb3,ChIJz104AuzxwIcRV8gwrYUoNQg
Grünauer,,,+1 (816) 283-3234,http://www.grunauerkc.com/,"101 W 22nd St,Kansas City, MO 64108",4.7,4138,Austrian restaurant,0.0,,,"{""raw"": ""Closed \u22c5 Opens 11:30\u202fAM""}",,58f05ab89eb3,ChIJmzokTUDwwIcRXeyswYBy4Zs
Cliff's Taphouse,,,+1 (816) 569-2611,http://cliffstaphousekc.com/,"3044 Gillham Rd,Kansas City, MO 64108",4.7,589,Restaurant,0.0,,,"{""raw"": ""Closed \u22c5 Opens 11\u202fAM""}",,58f05ab89eb3,ChIJGYHv6ozxwIcRA9ZJ8zhJqlY
The Wise Guy,,,+1 (816) 662-6303,https://www.thewiseguykc.com/,"1924 Main St,Kansas City, MO 64108",4.7,310,Italian restaurant,0.0,,,"{""raw"": ""Closed \u22c5 Opens 4\u202fPM""}",,58f05ab89eb3,ChIJCanrclDxwIcR62v4vNC0hzY
Garozzo's Downtown,,,+1 (816) 221-2455,http://www.garozzos.com/,"526 Harrison St,Kansas City, MO 64106",4.7,4227,Italian restaurant,0.0,,,"{""raw"": ""Closed \u22c5 Opens 11\u202fAM""}",,58f05ab89eb3,ChIJOaH2MobwwIcRpWNKmpATnGs
TAILLEUR RESTAURANT,,,+1 (816) 442-7042,http://www.tailleuronmain.com/,"3933 Main St,Kansas City, MO 64111",4.7,512,Restaurant,0.0,,,"{""raw"": ""Closed \u22c5 Opens 5\u202fPM""}",,58f05ab89eb3,ChIJu5yzRSfvwIcRlZAisqTUjV8
The Farmhouse,,,+1 (816) 569-6032,http://eatatthefarmhouse.com/,"300 Delaware St,Kansas City, MO 64105",4.4,2262,American restaurant,0.0,,,"{""raw"": ""Closed \u22c5 Opens 9\u202fAM""}",,58f05ab89eb3,ChIJuSMs7_TwwIcROCsOjA8nTRg
Union on the Hill Restaurant,,,+1 (816) 298-6047,http://uniononthehill.com/,"2976 Gillham Rd,Kansas City, MO 64108",4.7,473,American restaurant,0.0,,,"{""raw"": ""Closed \u22c5 Opens 11\u202fAM""}",,58f05ab89eb3,ChIJE60peAPxwIcREkBwiYfCUjA
Parlor,,,+1 (816) 875-4813,http://www.parlorkcmo.com/,"1707 Locust St,Kansas City, MO 64108",4.5,2443,Restaurant,0.0,,,"{""raw"": ""Closed \u22c5 Opens 11\u202fAM""}",,58f05ab89eb3,ChIJLffqCUbxwIcRXEhEzcER5_o
The Town Company,,,+1 (816) 895-0381,https://www.hotelkc.com/dine/the-town-company,"1228 Baltimore Ave,Kansas City, MO 64105",4.6,359,Restaurant,0.0,,,"{""raw"": ""Closed \u22c5 Opens 5\u202fPM""}",,58f05ab89eb3,ChIJ630XkHHxwIcRGclAk_4YTSA
