name,email,contact_name,phone,website,address,rating,reviews_count,categories,confidence_score,latitude,longitude,hours,enriched_at,source_search,place_id
Miami Shores Dental Group,info@miamiteeth.com,,+1 (305) 754-0062,https://www.miamiteeth.com/,"9101 Park Dr,Miami Shores, FL 33138,United States",4.8,596,Dentist,1.00,,,"{""raw"": ""Open \u22c5 Closes 5\u202fAM \u22c5 Reopens 9\u202fAM""}",2025-09-24T23:21:32.607136,85c1839e2675,ChIJo6K6TCiy2YgRH6VFpX1lCdg
Gables Sedation and Family Dentistry,gables@gsdsmile.com,,+1 (786) 926-8790,https://www.gsdsmile.com/?utm_source=GMB_Listing&utm_medium=organic&utm_campaign=Website_URL,"5727 SW 24th St,Miami, FL 33155,United States",4.9,2096,Dentist,1.00,,,"{""raw"": ""Closed \u22c5 Opens 8\u202fAM""}",2025-09-24T23:21:32.872805,85c1839e2675,ChIJtSLTeJC32YgReJUbCT8EM5Q
Bayfront Dental,hello@bayfrontdental.com,,+1 (305) 530-1866,https://www.bayfrontdental.com/,"224 SE 1st St,Miami, FL 33131,United States",4.9,418,Dentist,1.00,,,"{""raw"": ""Closed \u22c5 Opens 8:30\u202fAM""}",2025-09-24T23:21:28.604285,85c1839e2675,ChIJXfwuyZ222YgRMJFFi-sUKag
Dentists in Brickell - HQ Dontics Dental Centre,contact@hqdontics.com,,+1 (229) 508-0551,https://www.hqdontics.com/,"1060 Brickell Ave Suite 103/M2,Miami, FL 33131,United States",4.9,558,Dentist,1.00,,,"{""raw"": ""Closed \u22c5 Opens 9\u202fAM""}",2025-09-24T23:21:45.953868,85c1839e2675,ChIJ0XSP4IO22YgRhKT-1BNj3Z0
Dentists of Doral,office@dentistsofdoral.com,,+1 (786) 837-7939,https://www.dentistsofdoral.com/?sc_cid=GBP%3AO%3AGP%3A865%3AOrganic_Search%3AGeneral%3Ana&_vsrefdom=organic_gbp&y_source=1_MTQ1MTU3MzYtNzE1LWxvY2F0aW9uLndlYnNpdGU%3D,"8694 NW 13th Terrace,Doral, FL 33126,United States",4.8,445,Dentist,1.00,,,"{""raw"": ""Closed \u22c5 Opens 8\u202fAM""}",2025-09-24T23:21:48.548188,85c1839e2675,ChIJXe2rPki52YgRj5kf5tXlwgU
Dentists at Midtown,admin@dentistsatmidtown.com,,+1 (786) 724-0418,https://www.dentistsatmidtown.com/?sc_cid=GBP%3AO%3AGP%3A979%3AOrganic_Search%3AGeneral%3Ana&_vsrefdom=organic_gbp&y_source=1_MTIwMzA0NDgtNzE1LWxvY2F0aW9uLndlYnNpdGU%3D,"3120 N Miami Ave,Miami, FL 33127,United States",4.1,367,Dentist,1.00,,,"{""raw"": ""Closed \u22c5 Opens 8\u202fAM""}",2025-09-24T23:21:52.102159,85c1839e2675,ChIJp5CEqmCx2YgRCvJLGG0k_UY
Miami Dental Group of Doral,info@miamidentalgroup.com,,+1 (786) 672-1271,https://miamidentalgroup.com/,"7950 NW 53rd St Suite 201,Doral, FL 33166,United States",4.9,1332,Dentist,1.00,,,"{""raw"": ""Closed \u22c5 Opens 9\u202fAM""}",2025-09-24T23:22:09.790580,85c1839e2675,ChIJUVMehtO72YgRwXrNRa1sgkM
Relax and Smile Dental Care,office@relaxandsmile.com,,+1 (786) 983-4812,https://www.relaxandsmile.com/?utm_source=GMB&utm_medium=organic&utm_campaign=DevOptimization&utm_content=Website,"271 NE 2nd St,Miami, FL 33132,United States",4.9,798,Dentist,1.00,,,"{""raw"": ""Closed \u22c5 Opens 10\u202fAM""}",2025-09-24T23:22:06.730478,85c1839e2675,ChIJ8WVD9Z622YgRTsE_RcBq1Qk
All Smiles Dentistry Miami,hello@miamidental.net,,+1 (305) 371-6064,https://miamidental.net/,"150 SE 2nd Ave STE 604,Miami, FL 33131,United States",4.9,383,Dentist,1.00,,,"{""raw"": ""Closed \u22c5 Opens 8:20\u202fAM""}",2025-09-24T23:22:06.987718,85c1839e2675,ChIJkdeQKFDA2YgRpaDPJCQgHEQ
MIA Dental - South Beach,mia.info@miadental.net,,+1 (305) 532-6795,https://miadental.net/,"407 Lincoln Rd Suite 700,Miami Beach, FL 33139,United States",4.6,307,Dentist,1.00,,,"{""raw"": ""Closed \u22c5 Opens 9\u202fAM""}",2025-09-24T23:22:27.073026,85c1839e2675,ChIJB62GOoW02YgRHiBMeX2RJoM
