name,email,contact_name,phone,website,address,rating,reviews_count,categories,confidence_score,latitude,longitude,hours,enriched_at,source_search,place_id
Byson Real Estate Co.,office@byson.io,,+1 (844) 495-1010,https://www.byson.io/?utm_campaign=gmb,"5-17 46th Rd 2nd Floor,Long Island City, NY 11101",4.8,90,Real estate agency,1.00,,,"{""raw"": ""Open 24 hours""}",2025-09-23T23:50:03.206470,4ef17ab1af4d,ChIJz9oU4LdZwokRDPeW_oLULmg
The Prince Team at The Corcoran Group Real Estate,admin@princeteamnyc.com,,+1 (646) 580-7362,http://princeteamnyc.com/,"524 Broadway,New York, NY 10012",5.0,94,Real estate agency,1.00,,,"{""raw"": ""Open 24 hours""}",2025-09-23T23:50:06.732911,4ef17ab1af4d,ChIJder3yO5ZwokRaEN9XYmQcBA
Mayell Real Estate,support@mayellre.com,,+1 (929) 220-2068,http://mayellre.com/,"345 E 18th St Front A,New York, NY 10003",4.8,160,Real estate agency,1.00,,,"{""raw"": ""Open 24 hours""}",2025-09-23T23:50:10.112197,4ef17ab1af4d,ChIJp_YKwexbwokRGMhl6bfaN6c
"William Bolls, Licensed Associate Real Estate Broker",william@compass.com,,+1 (646) 285-8197,https://www.compass.com/agents/william-bolls/,"851 Madison Ave,New York, NY 10021",5.0,60,Real estate agency,1.00,,,"{""raw"": ""Open 24 hours""}",2025-09-23T23:50:14.436086,4ef17ab1af4d,ChIJBQAGxcFZwokR8HnicE-dCCg
Linda Thell & Thell Real Estate Group - Brokered by Queenston Realty - Top Agent in NJ,,,+1 (908) 642-4121,,"Hillsborough Township, NJ 08844",4.9,48,Real estate agency,0.0,,,"{""raw"": ""Open 24 hours""}",,4ef17ab1af4d,ChIJ80SB5Orrw4kRLFE6O7fFOXQ
Luminance Realty,info@luminancerealty.com,,+1 (732) 470-0447,https://www.luminancerealty.com/,"371 Hoes Ln Suit 200,Piscataway, NJ 08854",4.8,18,Real estate agency,1.00,,,"{""raw"": ""Closed \u22c5 Opens 9\u202fAM""}",2025-09-23T23:50:18.502526,4ef17ab1af4d,ChIJYyxsDunHw4kRqpAUzrW7tGk
Michelle Pais Group l Top NJ Realtors l #1 Real Estate Team in NJ,office@michellepaisgroup.com,,+1 (908) 686-1200,https://michellepaisgroup.com/?utm_source=gbp&utm_medium=organic,"233 N Ave E,Westfield, NJ 07090",4.7,87,Real estate agency,1.00,,,"{""raw"": ""Open 24 hours""}",2025-09-23T23:50:23.184596,4ef17ab1af4d,ChIJa7tYfX-xw4kRiiXvDDHIrwc
Lee Tessier Team,lee.info@leetessier.com,,+1 (410) 638-9555,http://www.leetessier.com/,"2225 Old Emmorton Rd STE 207,Bel Air, MD 21015",4.9,740,Real estate agency,1.00,,,"{""raw"": ""Open 24 hours""}",2025-09-23T23:50:27.026643,4ef17ab1af4d,ChIJT1oyz8fdx4kRVETh3tabXjw
"The Bizzarro Agency, New York Real Estate Agents",info@bizzarroagency.com,,+1 (917) 979-2259,http://www.bizzarroagency.com/,"8 W 126th St,New York, NY 10027",5.0,1049,Real estate agency,1.00,,,"{""raw"": ""Open 24 hours""}",2025-09-23T23:50:30.571432,4ef17ab1af4d,ChIJWSpmegT0wokR22hzsT1jGew
"NYC RED GROUP, LLC",nyc@nycredgroup.com,,+1 (212) 433-4733,http://nycredgroup.com/,"100-25 Queens Blvd APT 3K,Forest Hills, NY 11375",5.0,77,Real estate agency,1.00,,,"{""raw"": ""Open 24 hours""}",2025-09-23T23:50:34.155738,4ef17ab1af4d,ChIJaYBdJzdewokRV2aO-pcyXDY
Nick Athanail - Corcoran Real Estate Agent Serving Manhattan and Brooklyn,admin@nicknewyork.com,,+1 (855) 642-5692,http://www.nicknewyork.com/,"524 Broadway 3rd Floor,New York, NY 10012",4.8,40,Real estate agency,1.00,,,"{""raw"": ""Open 24 hours""}",2025-09-23T23:50:38.155744,4ef17ab1af4d,ChIJuUesMolZwokR9iwB0u8i6AQ
A-List Realty,info@alistrealtynj.com,,+1 (732) 339-4701,http://www.alistrealtynj.com/,"371 Hoes Ln Suit 200,Piscataway, NJ 08854",5.0,2,Real estate agency,1.00,,,"{""raw"": ""Closed \u22c5 Opens 9\u202fAM""}",2025-09-23T23:50:41.941129,4ef17ab1af4d,ChIJt68BUPe4w4kRKN4XW5RXVhU
Suburb Realty Agency,support@erasuburb.com,,+1 (908) 322-4434,http://www.erasuburb.com/,"1773 E 2nd St,Scotch Plains, NJ 07076",4.8,26,Real estate agency,1.00,,,"{""raw"": ""Open 24 hours""}",2025-09-23T23:50:47.806332,4ef17ab1af4d,ChIJB53WYISww4kRcoosRsj2gzI
Sasha A. Gurevich Real Estate Team at EXP Realty,contact@alexandergurevich.exprealty.com,,+1 (929) 238-8848,https://alexandergurevich.exprealty.com/,"2830 E 27th St,Brooklyn, NY 11235",4.9,86,Real estate agency,1.00,,,"{""raw"": ""Open \u22c5 Closes 12\u202fAM""}",2025-09-23T23:50:51.584468,4ef17ab1af4d,ChIJ7UqMkZJFwokROtknLsaP_38
Digs Realty Group,office@digsrealtynyc.com,,+1 (917) 675-0037,https://digsrealtynyc.com/,"161 W 75th St Apt 8d,New York, NY 10023",5.0,154,Real estate agency,1.00,,,"{""raw"": ""Open 24 hours""}",2025-09-23T23:50:58.835551,4ef17ab1af4d,ChIJGSnPdIlYwokRXwj7OWC3IlI
Batra Group Real Estate,hello@batrany.com,,+1 (646) 202-1877,http://www.batrany.com/,"79 Madison Ave,New York, NY 10016",4.9,233,Real estate agency,1.00,,,"{""raw"": ""Open 24 hours""}",2025-09-23T23:51:04.063192,4ef17ab1af4d,ChIJUUZryqlZwokRCXNiz_aRgz0
"Shabir Ahmad - Licensed Real Estate Agent in Brooklyn, NY",support@shabirahmad.us,,+1 (929) 327-5878,https://shabirahmad.us/,"125 7th Ave,Brooklyn, NY 11215",4.9,72,Real estate agent,1.00,,,"{""raw"": ""Open 24 hours""}",2025-09-23T23:51:11.504266,4ef17ab1af4d,ChIJq6qmdlBawokRN54x3w0RwV0
"REAL ESTATE Agents near Midtown Manhattan, Queens NY",support@aarealestatenyc.com,,+1 (212) 444-8708,https://aarealestatenyc.com/,"575 5th Ave Floor 14,New York, NY 10017",5.0,13,Real estate agency,1.00,,,"{""raw"": ""Open 24 hours""}",2025-09-23T23:51:18.035496,4ef17ab1af4d,ChIJJy5CtPdZwokRAdVctyg_ehc
"Real Estate Homes, LLC - Commercial & Residential Sales. We Buy Homes for Cash. Best Real Estate Agency in NY.",salespersonemailstar@realestatehomesny.comphone,,+1 (516) 484-2999,https://www.realestatehomesny.com/,"2850 Woods Ave,Oceanside, NY 11572",4.9,74,Real estate agency,0.90,,,"{""raw"": ""Open 24 hours""}",2025-09-23T23:51:21.982908,4ef17ab1af4d,ChIJK7rQ3VF7wokRZ9jOxqyqXSk
Gregory Taylor & Kimberli Taylor - Real Estate,support@hudsoncountyhomes.com,,+1 (201) 584-4865,http://www.hudsoncountyhomes.com/,"30 Montgomery St Suite 420,Jersey City, NJ 07302",4.9,93,Real estate agency,1.00,,,"{""raw"": ""Open 24 hours""}",2025-09-23T23:51:26.171681,4ef17ab1af4d,ChIJP4hfYF9XwokRDhChkzaipC8
