name,email,contact_name,phone,website,address,rating,reviews_count,categories,confidence_score,latitude,longitude,hours,enriched_at,source_search,place_id
"Gruber Law Offices, LLC",sales@gruber-law.com,,+1 (414) 667-7111,https://www.gruber-law.com/?utm_source=google&utm_medium=organic&utm_campaign=gbp-listing-milwaukee,"411 E Wisconsin Ave Floor 19,Milwaukee, WI 53202",4.7,1648,Personal injury attorney,1.00,,,"{""raw"": ""Open 24 hours""}",2025-09-23T22:53:31.114726,9a031bdac4c9,ChIJG2btpaAZBYgR8RtQptPNYDI
Bayer Law Offices,office@bayerlawoffices.com,,+1 (414) 939-9650,https://www.bayerlawoffices.com/?utm_source=gmb&utm_medium=organic&utm_campaign=milwaukee,"735 N Water St #720,Milwaukee, WI 53202",4.8,178,Criminal justice attorney,1.00,,,"{""raw"": ""Open 24 hours""}",2025-09-23T22:53:34.134916,9a031bdac4c9,ChIJI0x6sQoZBYgRniiPp9l4A5Y
Ohiku Law Office,admin@ohiku.com,,+1 (414) 287-0088,https://www.ohiku.com/,"1037 W McKinley Ave Suite 300,Milwaukee, WI 53205",4.5,116,Divorce lawyer,1.00,,,"{""raw"": ""Closed \u22c5 Opens 8\u202fAM""}",2025-09-23T22:53:37.159976,9a031bdac4c9,ChIJk-v4THUZBYgR2bkCeT6f7aY
PKSD,hello@pksd.com,,+1 (414) 333-3333,https://www.pksd.com/milwaukee-injury-lawyer.html,"1110 N Doctor M.L.K. Jr Dr #320,Milwaukee, WI 53203",4.6,208,Personal injury attorney,1.00,,,"{""raw"": ""Open 24 hours""}",2025-09-23T22:53:40.181522,9a031bdac4c9,ChIJsfpcUXMZBYgRIltBashuHTY
Warshafsky Law Firm,contact@warshafsky.com,,+1 (414) 895-6401,https://www.warshafsky.com/?=GBPMilwaukee,"839 N Jefferson St #300,Milwaukee, WI 53202",4.6,64,Personal injury attorney,1.00,,,"{""raw"": ""Open 24 hours""}",2025-09-23T22:53:43.202953,9a031bdac4c9,ChIJQac45ggZBYgR64kN7FBUiTA
Nicolet Law Accident & Injury Lawyers,hello@nicoletlaw.com,,+1 (414) 409-5809,https://nicoletlaw.com/milwaukee-personal-injury-lawyers/,"207 N Milwaukee St,Milwaukee, WI 53202",5.0,304,Personal injury attorney,1.00,,,"{""raw"": ""Open 24 hours""}",2025-09-23T22:53:46.224604,9a031bdac4c9,ChIJYZrAx30XBYgRZ_dOIkDkIQQ
"Sterling Lawyers, LLC",admin@sterlinglawyers.com,,+1 (414) 431-8697,https://www.sterlinglawyers.com/wisconsin/locations/milwaukee/?utm_source=google&utm_medium=organic&utm_campaign=gmb,"250 E Wisconsin Ave #1830,Milwaukee, WI 53202",4.7,231,Divorce lawyer,1.00,,,"{""raw"": ""Open 24 hours""}",2025-09-23T22:53:49.249692,9a031bdac4c9,ChIJMXVVOAgZBYgRjnekaWe6DuU
Sperling Law Offices LLC,info@milwaukeelawfirm.com,,+1 (414) 273-7777,http://www.milwaukeelawfirm.com/,"411 E Wisconsin Ave #2300,Milwaukee, WI 53202",4.8,179,Personal injury attorney,1.00,,,"{""raw"": ""Closed \u22c5 Opens 7:30\u202fAM""}",2025-09-23T22:53:52.275656,9a031bdac4c9,ChIJG2btpaAZBYgR6uDZpfKhL3Q
Groth Law Accident Injury Attorneys,groth@grothlawfirm.com,,+1 (414) 251-1088,https://grothlawfirm.com/milwaukee-personal-injury-lawyer/?utm_source=GMBlisting&utm_medium=organic,"1578 W National Ave,Milwaukee, WI 53204",4.9,384,Personal injury attorney,1.00,,,"{""raw"": ""Open 24 hours""}",2025-09-23T22:53:55.293734,9a031bdac4c9,ChIJ8StfZYoZBYgRPX7THyE92Rc
Lindner Law LLC,contact@lindnerlawllc.com,,+1 (414) 895-0150,https://www.lindnerlawllc.com/milwaukee-personal-injury-office/?utm_campaign=gmb,"648 N Plankinton Ave,Milwaukee, WI 53203",4.9,349,Personal injury attorney,1.00,,,"{""raw"": ""Open 24 hours""}",2025-09-23T22:53:58.316402,9a031bdac4c9,ChIJK8KLwJ0ZBYgRumIRpXpEie0
Hupy and Abraham,admin@hupy.com,,+1 (414) 223-4800,http://www.hupy.com/offices/milwaukee-personal-injury-attorneys.cfm,"111 E Kilbourn Ave #1100,Milwaukee, WI 53202",4.5,631,Personal injury attorney,1.00,,,"{""raw"": ""Open 24 hours""}",2025-09-23T22:54:01.334967,9a031bdac4c9,ChIJG2btpaAZBYgRM_lgQ1kHKk8
"Van Severen Law Office, S.C.",info@milwaukee-criminal-lawyer.com,,+1 (414) 270-0202,https://milwaukee-criminal-lawyer.com/,"316 N Milwaukee St #200,Milwaukee, WI 53202",4.8,120,Criminal justice attorney,1.00,,,"{""raw"": ""Open 24 hours""}",2025-09-23T22:54:04.359466,9a031bdac4c9,ChIJp2cv2uYYBYgRoV2mQQNv2wU
"Casey Law Offices, S.C.",info@casey-injurylaw.com,,+1 (414) 272-5564,https://www.casey-injurylaw.com/,"757 N Broadway Suite 201,Milwaukee, WI 53202",4.4,15,Personal injury attorney,1.00,,,"{""raw"": ""Open 24 hours""}",2025-09-23T22:54:07.378185,9a031bdac4c9,ChIJjTJ3PqQZBYgRbd4DWM0Lvqc
