name,email,contact_name,phone,website,address,rating,reviews_count,categories,confidence_score,latitude,longitude,hours,enriched_at,source_search,place_id
Hallinan Law Firm,hallinan@hallinanlawfirm.com,,+1 (415) 837-3449,https://hallinanlawfirm.com/,"345 Franklin St,San Francisco, CA 94102",4.9,33,Law firm,1.00,,,"{""raw"": ""Open 24 hours""}",2025-09-23T23:35:41.119961,a1faad6df19a,ChIJ2Zgr2dWBhYARG2fiyoSCdPE
"Law Offices of Shamieh, Shamieh & Ternieden",info@shamiehlawsf.com,,+1 (415) 300-2144,https://www.shamiehlawsf.com/,"605 Market St #600,San Francisco, CA 94105",4.8,385,Immigration attorney,1.00,,,"{""raw"": ""Closed \u22c5 Opens 9\u202fAM Wed""}",2025-09-23T23:35:47.293965,a1faad6df19a,ChIJ29dKyxT3MhURCY5wHUcNqQQ
Law Offices of Beles & Beles,info@beleslaw.com,,+1 (510) 836-0100,https://beleslaw.com/?utm_source=gmb&utm_medium=organic,"1 Kaiser Plaza #2300,Oakland, CA 94612",4.6,123,Criminal justice attorney,1.00,,,"{""raw"": ""Open 24 hours""}",2025-09-23T23:35:52.511481,a1faad6df19a,ChIJ9bYRXk2Hj4AR7XixC5P9QQM
Law Offices Of J.Chrisp,support@chrisplaw.com,,+1 (415) 795-2000,https://www.chrisplaw.com/,"1330 Bush St #9d,San Francisco, CA 94109",4.6,47,Personal injury attorney,1.00,,,"{""raw"": ""Open 24 hours""}",2025-09-23T23:36:09.103663,a1faad6df19a,ChIJ_0-JiJSAhYARc5RzWxZ0ajw
Silveira Law - A Professional Corporation,support@northerncaliforniacriminaldefense.com,,+1 (628) 946-2233,http://www.northerncaliforniacriminaldefense.com/,"315 Montgomery St Suite 917,San Francisco, CA 94104",4.9,114,Attorney,1.00,,,"{""raw"": ""Open 24 hours""}",2025-09-23T23:36:12.744166,a1faad6df19a,ChIJEbBmPmWAhYAR9r-pOJYoQ7E
Sherman Business Law Offices,hello@shermanbusinesslaw.com,,+1 (415) 403-1660,https://shermanbusinesslaw.com/,"802 Montgomery St,San Francisco, CA 94133",4.9,74,Attorney,1.00,,,,2025-09-23T23:36:17.068621,a1faad6df19a,ChIJGx4U8ImAhYARQSa_UCKSZn0
Law Offices of John M. Runfola,,,+1 (415) 391-4243,,"100 The Embarcadero Suite 100,San Francisco, CA 94105",4.8,20,Attorney,0.0,,,"{""raw"": ""Open 24 hours""}",,a1faad6df19a,ChIJw-07V16AhYARJpV4gK4xdoI
Bresler & Lee Law Offices,,,+1 (415) 776-7177,,"3338 Sacramento St,San Francisco, CA 94118",4.5,19,Legal services,0.0,,,"{""raw"": ""Closed \u22c5 Opens 10\u202fAM Wed""}",,a1faad6df19a,ChIJ3R0swpWAhYARjO7CS9vjqPQ
Trevor Caudle Law Practice,info@trevorcaudlelaw.com,,+1 (415) 859-9626,https://www.trevorcaudlelaw.com/,"350 Bay St #100,San Francisco, CA 94133",5.0,775,General practice attorney,1.00,,,"{""raw"": ""Closed \u22c5 Opens 9\u202fAM Wed""}",2025-09-23T23:36:21.754849,a1faad6df19a,ChIJh9P3CYKAhYAR7UMWBMUGXi0
Law Offices of Clayton T. Robertson,ctr@robertsonlitigation.com,,+1 (408) 418-6403,https://www.robertsonlitigation.com/,"1300 Clay St Suite 685,Oakland, CA 94612",5.0,21,Attorney,1.00,,,"{""raw"": ""Open 24 hours""}",2025-09-23T23:36:25.724937,a1faad6df19a,ChIJCSbcRteBj4ARKStKRtzRqeM
Jason Marachi Law Offices,admin@rymap.org,,,https://rymap.org/business/jason-marachi-law-offices-cyho6s,"1301 17th Ave,San Francisco, CA 94122",4.9,27,Attorney,1.00,,,,2025-09-23T23:36:29.573335,a1faad6df19a,ChIJ4bLTMFqHhYAR5AU_uf-2JlA
Law Offices of Gerard A. Falzone,law.info@gfalzonelaw.com,,+1 (510) 521-9500,http://www.gfalzonelaw.com/,"2233 Santa Clara Ave #7,Alameda, CA 94501",4.9,30,Divorce lawyer,1.00,,,"{""raw"": ""Closed \u22c5 Opens 8:30\u202fAM Wed""}",2025-09-23T23:36:33.124612,a1faad6df19a,ChIJaxomu7-Gj4ARHpnBWVZNGg0
Franklin Law Office,franklin.info@franklinlawsf.com,,+1 (415) 682-4474,https://www.franklinlawsf.com/,"4444 Geary Blvd #215,San Francisco, CA 94118",4.9,11,Attorney,1.00,,,,2025-09-23T23:36:38.392266,a1faad6df19a,ChIJiaMsNPKAhYARk5OhgeFPLQI
"Bend Law Group, PC",sales@bendlawgroup.com,,+1 (415) 633-6841,http://www.bendlawgroup.com/,"2181 Greenwich St,San Francisco, CA 94123",4.9,56,Business attorney,1.00,,,"{""raw"": ""Closed \u22c5 Opens 8\u202fAM Wed""}",2025-09-23T23:36:42.389738,a1faad6df19a,ChIJmQaMSYqAhYARHCSz52ahOSk
Morales Law Firm,admin@sfcriminallawspecialist.com,,+1 (415) 552-1215,https://sfcriminallawspecialist.com/?utm_source=gmb&utm_medium=organic&utm_campaign=website-san-francisco,"1388 Sutter St 8th Floor,San Francisco, CA 94109",4.7,55,Criminal justice attorney,1.00,,,"{""raw"": ""Open 24 hours""}",2025-09-23T23:36:45.938391,a1faad6df19a,ChIJt2bQvZWAhYART58B59g-FKs
Ribera Law Firm,ribera.info@riberalaw.com,,+1 (415) 576-1600,http://www.riberalaw.com/,"157 W Portal Ave Suite #2,San Francisco, CA 94127",4.7,12,Law firm,1.00,,,"{""raw"": ""Closed \u22c5 Opens 9\u202fAM Wed""}",2025-09-23T23:36:49.498117,a1faad6df19a,ChIJNf4EJfWAhYAR5N-x_AVaVGg
"Dolan Law Firm, PC Personal Injury Lawyers",office@dolanlawfirm.com,,+1 (415) 200-1521,https://dolanlawfirm.com/,"1438 Market St,San Francisco, CA 94102",4.5,269,Personal injury attorney,1.00,,,"{""raw"": ""Open 24 hours""}",2025-09-23T23:36:53.977915,a1faad6df19a,ChIJn_7ZH5yAhYARW_Db1-qHwiA
The Nieves Law Firm: Oakland Criminal Defense Attorneys,info@thenieveslawfirm.com,,+1 (510) 892-3215,https://thenieveslawfirm.com/,"160 Franklin St # 210,Oakland, CA 94607",4.7,172,Criminal justice attorney,1.00,,,"{""raw"": ""Closed \u22c5 Opens 7\u202fAM Wed""}",2025-09-23T23:36:57.531831,a1faad6df19a,ChIJdxWUDrGAj4ARrRlU298Yvww
The Law Offices of Robert Jobe,hello@jobelaw.com,,+1 (415) 956-5513,http://jobelaw.com/,"100 Bush St Suite 1300,San Francisco, CA 94104",4.3,323,Law firm,1.00,,,"{""raw"": ""Closed \u22c5 Opens 9\u202fAM Wed""}",2025-09-23T23:37:01.173444,a1faad6df19a,ChIJ-x1jqouAhYAR8rnjoJctu2o
The Law Offices of Jonah Chew,sales@chewlawoffices.com,,+1 (415) 484-1718,http://chewlawoffices.com/,"1388 Sutter St #805,San Francisco, CA 94109",4.9,43,Criminal justice attorney,1.00,,,"{""raw"": ""Closed \u22c5 Opens 8\u202fAM Wed""}",2025-09-23T23:37:04.996571,a1faad6df19a,ChIJQS8VMCl-j4ARTGTDSWyMfjY
Silveira Law - A Professional Corporation,support@northerncaliforniacriminaldefense.com,,+1 (628) 946-2233,http://www.northerncaliforniacriminaldefense.com/,"315 Montgomery St Suite 917,San Francisco, CA 94104",4.9,114,Attorney,1.00,,,"{""raw"": ""Open 24 hours""}",2025-09-23T23:37:08.436318,a1faad6df19a,ChIJEbBmPmWAhYAR9r-pOJYoQ7E
Law Offices Of J.Chrisp,support@chrisplaw.com,,+1 (415) 795-2000,https://www.chrisplaw.com/,"1330 Bush St #9d,San Francisco, CA 94109",4.6,47,Personal injury attorney,1.00,,,"{""raw"": ""Open 24 hours""}",2025-09-23T23:37:27.605756,a1faad6df19a,ChIJ_0-JiJSAhYARc5RzWxZ0ajw
