name,email,contact_name,phone,website,address,rating,reviews_count,categories,confidence_score,latitude,longitude,hours,enriched_at,source_search,place_id
"LaScola Law Offices, Ltd.",contact@lascoladefenselaw.com,,+1 (847) 850-0100,http://www.lascoladefenselaw.com/contact-us/,"333 IL-83 Ste 102,Mundelein, IL 60060",5.0,91,Legal services,1.00,,,"{""raw"": ""Open 24 hours""}",2025-09-23T23:27:54.976524,dba70c7a0a02,ChIJ-__ZzZKXD4gRHyDU7gUp9Iw
The Law Offices of Jason R. Mercure,admin@mercurelaw.com,,+1 (847) 336-4440,http://www.mercurelaw.com/,"33 N County St #200,Waukegan, IL 60085",4.8,70,Criminal justice attorney,1.00,,,"{""raw"": ""Open 24 hours""}",2025-09-23T23:27:59.068941,dba70c7a0a02,ChIJkX-PBWntD4gRImJzcQkMm_s
The Law Offices of Haytham Faraj,sales@farajlaw.com,,+1 (312) 635-0800,http://www.farajlaw.com/,"1935 W Belmont Ave,Chicago, IL 60657",4.9,121,Law firm,1.00,,,"{""raw"": ""Open 24 hours""}",2025-09-23T23:28:03.927437,dba70c7a0a02,ChIJg-WcYLwsDogR6KqJv4ibmXU
"Miranda Law Office, LTD",office@mirandalawchicago.com,,+1 (773) 588-3822,https://www.mirandalawchicago.com/,"3535 N Pulaski Rd,Chicago, IL 60641",4.6,123,Criminal justice attorney,1.00,,,"{""raw"": ""Open 24 hours""}",2025-09-23T23:28:08.857370,dba70c7a0a02,ChIJXccs9a_ND4gRe-msgNp4sb4
Law Offices of Kristian V. Nordby,contact@nordbylaw.com,,+1 (224) 639-3409,http://nordbylaw.com/,"9 S County St,Waukegan, IL 60085",5.0,44,Criminal justice attorney,1.00,,,"{""raw"": ""Open 24 hours""}",2025-09-23T23:28:12.793786,dba70c7a0a02,ChIJeUfJzuftD4gRkH1dwPZUX4c
"Salvi, Schostok & Pritchard P.C.",contact@salvilaw.com,,+1 (847) 249-1227,https://www.salvilaw.com/waukegan/?utm_source=google&utm_medium=gmb&utm_campaign=waukegan,"218 N Martin Luther King Jr Ave,Waukegan, IL 60085",5.0,70,Personal injury attorney,1.00,,,"{""raw"": ""Open 24 hours""}",2025-09-23T23:28:21.972263,dba70c7a0a02,ChIJmWhoEGjtD4gRo8-CP2aBtSE
Spada Law Offices PC,support@injuryinillinois.com,,+1 (847) 729-2667,http://www.injuryinillinois.com/,"333 IL-83,Mundelein, IL 60060",4.9,39,Attorney,1.00,,,"{""raw"": ""Open 24 hours""}",2025-09-23T23:28:25.945844,dba70c7a0a02,ChIJ-ertB0HGD4gRwDAtBkdlUS8
"The Davis Law Group, P.C.",the.info@illinoisdriverslicensereinstatementlawyer.com,,+1 (224) 532-9826,https://www.illinoisdriverslicensereinstatementlawyer.com/?utm_source=google&utm_medium=organic&utm_campaign=WaukeganGMB,"5 S County St Suite 1N,Waukegan, IL 60085",5.0,101,Criminal justice attorney,1.00,,,"{""raw"": ""Open 24 hours""}",2025-09-23T23:28:30.888318,dba70c7a0a02,ChIJR3IXZK7tD4gRHkq5CizCfbU
Law Office of Robert Ritacca,,,+1 (847) 244-2700,,"5 S County St,Waukegan, IL 60085",4.5,96,Law firm,0.0,,,"{""raw"": ""Closed \u22c5 Opens 8\u202fAM""}",,dba70c7a0a02,ChIJI1iQeWntD4gReNwxG1holeQ
Joslyn Law Firm,contact@criminalattorneycolumbus.com,,+1 (614) 444-1900,https://www.criminalattorneycolumbus.com/?utm_source=google&utm_medium=organic&utm_campaign=gmbwebsite,"501 S High St,Columbus, OH 43215",4.8,824,Criminal justice attorney,1.00,,,"{""raw"": ""Open 24 hours""}",2025-09-23T23:28:34.391041,dba70c7a0a02,ChIJBZyRDVKPOIgRmtlwqAM8EQc
